,DOW,LKNAME,CTY,NEAREST_TOWN,SURVEYTYPE,SURVEYDATE,black bullhead_GN,black bullhead_TN,brown bullhead_GN,brown bullhead_TN,yellow bullhead_GN,yellow bullhead_TN,bigmouth buffalo_GN,bigmouth buffalo_TN,black crappie_GN,black crappie_TN,bluegill_GN,bluegill_TN,largemouth bass_GN,largemouth bass_TN,northern pike_GN,northern pike_TN,walleye_GN,walleye_TN,white crappie_GN,white crappie_TN,white sucker_GN,white sucker_TN,yellow perch_GN,yellow perch_TN,common carp_GN,common carp_TN,highfin carpsucker_TN,river carpsucker_GN,river carpsucker_TN,DOWLKNUM,Sorder1,Sorder2,Sorder3,Sorder4,Sorder5,Sorder6,Sorderout,notes,exclude,PWATER,PDEVL,PBARE,PFOR,PGRASS,PAG,PWET,PMISC,X.LK_AREA.,X.LK_PERIM.,depthft,LAKE_NAME,SchuppLAKE_CLASS,UTMeasting,UTMnorthing,HUC04,MAJOR,CATCH_ID,watershed.acres.,dow,fish_date,BHD_TN,BLG_TN,CAP_GN,CRP_TN,NOP_GN,WAE_GN,YEP_GN,veg_date,veg_rich,S_rich,utmx,utmy,ecoreg,shedaream2,depthm,aream2,phuman,sdi,secchim,ln_shedaream2,ln_aream2
19,7004400,Madison,Blue Earth,Madison Lake                  ,Re-Survey,8-Jul-02,2.24235,0.493317,0,0,0.0747903,0.377349,2.2164837,0.178935,1.41336,0.4077,0.015855,1.208604,0.0129558,0.097395,1.429668,0.826272,7.422405,0.456624,0.74745,0.022197,2.05662,0.350622,0.677235,0.029898,4.1302275,2.43261,0,0,0,7004400,25005.39418,23650.23767,2616.41585,0,0,0,2,,NA,0.161021534,0.06920721,0,0.046004173,0.007508768,0.64127428,0.074984035,0,1441.37,65324.8,57.7,Madison,24,435226,4892867.5,702,32,3.21E+14,11167.31575,7004400,7/6/10,1.013699807,1.77841006,2.961598569,0.555941188,3.335258224,5.858672392,1.717112342,7/6/10,28,16,435928,4893230,eastern temperate forests,45192704.25,17.58696,5824402.786,0.710481491,2.392792398,1.005227273,17.62644622,15.57756703
20,7004400,Madison,Blue Earth,Madison Lake                  ,Re-Survey,7-Jul-08,2.4137652,0,0,0,0,0,1.9448649,0,4.7565,1.1805633,1.4081958,3.3107052,0.0677688,0,5.6567016,0.4245516,9.76668,1.0388196,0.11778,0.0229218,2.077005,0.2750616,0.979839,0,21.2185653,0,0,0,0,7004400,25005.39418,23650.23767,2616.41585,0,0,0,2,,NA,0.161021534,0.06920721,0,0.046004173,0.007508768,0.64127428,0.074984035,0,1441.37,65324.8,57.7,Madison,24,435226,4892867.5,702,32,3.21E+14,11167.31575,7004400,7/6/10,1.013699807,1.77841006,2.961598569,0.555941188,3.335258224,5.858672392,1.717112342,7/6/10,28,16,435928,4893230,eastern temperate forests,45192704.25,17.58696,5824402.786,0.710481491,2.392792398,1.005227273,17.62644622,15.57756703
21,7004400,Madison,Blue Earth,Madison Lake                  ,Re-Survey,7-Jul-97,0.14949,0.1465002,0,0,0.296715,0.8426706,0,0,0.8768268,0.2866131,0.01812,0.3657522,0,0,4.4677125,0.4714824,7.64664,1.6920456,0.2619246,0,1.30464,0.4365108,0.23556,0.0065232,4.8471,2.7341268,0,0,0,7004400,25005.39418,23650.23767,2616.41585,0,0,0,2,,NA,0.161021534,0.06920721,0,0.046004173,0.007508768,0.64127428,0.074984035,0,1441.37,65324.8,57.7,Madison,24,435226,4892867.5,702,32,3.21E+14,11167.31575,7004400,7/6/10,1.013699807,1.77841006,2.961598569,0.555941188,3.335258224,5.858672392,1.717112342,7/6/10,28,16,435928,4893230,eastern temperate forests,45192704.25,17.58696,5824402.786,0.710481491,2.392792398,1.005227273,17.62644622,15.57756703
22,7005400,Ballantyne,Blue Earth,Madison Lake                  ,Re-Survey,14-Jul-03,7.2106275,8.8903968,0,0,3.20271,1.6388181,0.9328176,0,0.4441212,1.2721146,0.0515967,2.3957811,0,0,6.3945027,0.19932,2.0965746,0,0.1326384,0.161268,0,0,0.19932,0,5.55831,0.538164,0,0,0,7005400,5074.26225,0,0,0,0,0,1,,NA,0.226624486,0.060085075,0,0.046508281,0.009961854,0.589687643,0.067132662,0,373.14,17859.71,55.3,Ballantyne,38,433375,4895625.1,702,28,2.80E+14,3486.395409,7005400,7/14/03,4.046705727,1.483831758,5.637965993,1.42910031,6.659882473,1.980278998,0.195454117,8/1/03,23,12,433249,4895740,eastern temperate forests,14108998.09,16.85544,1500373.345,0.649772718,1.360222654,1.058768473,16.46232331,14.22122453
23,7005400,Ballantyne,Blue Earth,Madison Lake                  ,Re-Survey,14-Jul-97,8.5766037,1.4392716,0,0,0.6943131,1.8188856,0.4751517,0,0.0967608,0.5213124,0,0.734766,0,0,5.7693627,0.2855259,0.61608,0,0,0,0,0,0.428085,0,4.3654704,3.9411,0,0,0,7005400,5074.26225,0,0,0,0,0,1,,NA,0.226624486,0.060085075,0,0.046508281,0.009961854,0.589687643,0.067132662,0,373.14,17859.71,55.3,Ballantyne,38,433375,4895625.1,702,28,2.80E+14,3486.395409,7005400,7/14/03,4.046705727,1.483831758,5.637965993,1.42910031,6.659882473,1.980278998,0.195454117,8/1/03,23,12,433249,4895740,eastern temperate forests,14108998.09,16.85544,1500373.345,0.649772718,1.360222654,1.058768473,16.46232331,14.22122453
24,7007900,Lura,Blue Earth,Mapleton                      ,Re-Survey,24-Jul-00,13.388415,4.0711563,0,0,0,0,0,0,0.09966,0.0875196,0.011325,0.3901689,0,0.6693075,1.91166,0.7878123,26.330625,3.439176,0,0,0,0,4.40316,0.150849,0,1.11438,0,0,0,7007900,0,0,0,0,0,0,0,,NA,0.511606623,0.029453366,0,0.002912056,0.021133206,0.374739995,0.060154755,0,1361.09,71144.23,9,Lura,41,417688,4857588.5,702,32,3.21E+14,2672.496139,7007900,7/24/00,3.366295019,0.35090729,0,0.088015111,1.903336276,23.27757911,2.669642313,7/24/00,15,10,417777,4857510,great plains,10815251.43,2.7432,5497942.59,0.404193361,2.69902112,1.125083333,16.19646787,15.51988451
25,7009600,Loon,Blue Earth,Lake Crystal                  ,Re-Survey,15-Aug-01,1.3695549,0,0,0,0,0.014496,0,0,0.0762399,0.0396375,0,0.0079728,0,0,0.3675189,0.0092412,1.03284,0.0450282,0,0,0.0023103,0.3783456,0.6910515,0.0583011,12.4204899,0.1616757,0,0,0,7009600,43.53206,0,0,0,0,0,1,,NA,0.29280761,0.047309792,0,0.010446896,0.002641537,0.559074712,0.087719454,0,809.64,27353.71,7,Loon,43,405747,4883458.2,702,28,2.80E+14,3705.199824,7009600,8/7/06,1.822738264,0.599441234,3.335768378,3.794093226,0.302958621,7.525942127,0.19172873,8/7/06,5,0,405775,4883540,great plains,14994471.68,2.1336,3272290.996,0.606384504,1.322599231,0.279102564,16.52319214,15.00100091
26,7009600,Loon,Blue Earth,Lake Crystal                  ,Re-Survey,15-Aug-96,0,0.1255716,0,0,0,0,0,0,6.7159968,2.140425,0,0.5606328,0,0,0,0.6009498,11.0985,1.4091924,0,0,0,0,0.0194337,0.0089694,14.408118,0,0,0,0,7009600,43.53206,0,0,0,0,0,1,,NA,0.29280761,0.047309792,0,0.010446896,0.002641537,0.559074712,0.087719454,0,809.64,27353.71,7,Loon,43,405747,4883458.2,702,28,2.80E+14,3705.199824,7009600,8/7/06,1.822738264,0.599441234,3.335768378,3.794093226,0.302958621,7.525942127,0.19172873,8/7/06,5,0,405775,4883540,great plains,14994471.68,2.1336,3272290.996,0.606384504,1.322599231,0.279102564,16.52319214,15.00100091
27,7009700,Mills,Blue Earth,Lake Crystal                  ,Re-Survey,26-Aug-04,49.0599,6.6438792,0,0,0,0.0737484,0,0,0.6276768,1.5330879,0,0.2539971,0,0.1126158,2.771454,1.0458864,0,0,0,0,0,0.0508266,0,0.0239184,0.0453906,1.6218306,0,0,0,7009700,0,0,0,0,0,0,0,,NA,0.321124361,0.039182283,0,0.015332198,0,0.478989211,0.145371948,0,237.08,13621.34,7,Mills,43,408063,4881719.6,702,28,2.80E+14,783.6365054,7009700,8/6/07,1.730167261,0.04204972,11.51607822,1.6163228,0.487574589,0,0.787812658,8/6/07,7,3,408116,4881760,great plains,3171277.11,2.1336,959429.5688,0.518171494,1.19579509,0.31,14.96964494,13.77409419
28,7009800,Crystal,Blue Earth,Lake Crystal                  ,Re-Survey,16-Aug-01,0.0453,0.0637824,0,0,0,0.2363301,0,0,0.17214,0.1524798,0,0.0313929,0,0,0,0.3607692,18.665865,2.7131076,0,0,0,0.393204,0.35334,0.1128876,5.356725,4.2211899,0,0,0,7009800,5544.96003,18194.33537,0,0,0,0,2,,NA,0.106001104,0.078928524,1.60E-05,0.007120456,0.001906107,0.76465286,0.041374954,0,383.25,30647.3,10,Crystal,43,403650,4884633.2,702,28,2.80E+14,13909.95985,7009800,8/7/06,1.630844775,0.343894313,4.688752825,2.349982684,0,30.64812942,0.063478262,8/7/06,1,0,403712,4884730,great plains,56291835.54,3.048,1535257.278,0.843581384,1.99686879,0.309927536,17.84606007,14.24420853
29,10000600,Lotus,Carver,Chanhassen                    ,Re-Survey,8-Aug-94,1.1846856,0,0,0,0.37599,0.2359224,0,0,0.5878581,0.332502,0.1059114,17.63982,0.337485,0.094677,0,0.4295346,1.0132704,1.0632816,0.0758775,0.0684936,0.2163981,0.4305312,3.095349,0.161268,0.7594092,0.3323661,0,0,0,10000600,3003.96888,961.63206,0,0,0,0,2,,NA,0.218803768,0.631581538,0,0.138787897,0,0.001457453,0.009369343,0,245.23,26284.02,28.9,Lotus,24,458098,4969427.2,702,33,3.31E+14,1069.158095,10000600,8/8/94,0.210431082,1.407270737,0.813146622,0.431138243,0,0.983674436,1.24412699,8/8/94,18,8,458128,4969420,eastern temperate forests,4326746.608,8.80872,992047.2604,0.633038992,2.19697172,1.198877551,15.28032646,13.80752603
30,10000900,Minnewashta,Carver,Chanhassen                    ,Re-Survey,18-Jul-94,0.0184824,0,0.1198638,0,1.9076736,0.453906,0,0,0.382785,0.1736802,1.8712071,4.8465564,0.12231,0.0209286,7.570083,0.29898,0,0,0,0,0.0539976,0,0.0032616,0,0,0.5960574,0,0,0,10000900,4589.80818,2196.109,0,0,0,0,2,,NA,0.218604899,0.263696732,0,0.235835996,0.016477021,0.211643086,0.053742266,0,56.34,7845.41,70,Minnewashta,24,452199,4969647.2,701,20,2.01E+14,3148.205764,10000900,7/9/01,0.611413431,1.760417857,0.308184385,0.147890883,18.11776814,0.456292322,0,7/13/01,36,19,451920,4969720,eastern temperate forests,12740387.68,21.336,2739481.408,0.475339818,2.498778771,2.751973684,16.36028764,14.82327919
31,10000900,Minnewashta,Carver,Chanhassen                    ,Re-Survey,9-Jul-01,0.2218794,0.0431256,0.0242808,0,0.5121165,0.64326,0,0,0.0814494,0.1361718,2.3091222,1.9096668,0,0.4604292,17.0859822,0.2130912,0.4412673,0,0,0,0,0,0,0.0014496,0.351528,2.140425,0,0,0,10000900,4589.80818,2196.109,0,0,0,0,2,,NA,0.218604899,0.263696732,0,0.235835996,0.016477021,0.211643086,0.053742266,0,56.34,7845.41,70,Minnewashta,24,452199,4969647.2,701,20,2.01E+14,3148.205764,10000900,7/9/01,0.611413431,1.760417857,0.308184385,0.147890883,18.11776814,0.456292322,0,7/13/01,36,19,451920,4969720,eastern temperate forests,12740387.68,21.336,2739481.408,0.475339818,2.498778771,2.751973684,16.36028764,14.82327919
32,10001000,Tamarack,Carver,Victoria                      ,Re-Survey,8-Aug-94,0,0,0,0,3.27066,0.4790022,0,0,0.47565,3.1710906,0.14949,1.0187064,0,0,10.92636,0.849828,0,0,0,0,0,0,0,0.0452547,5.47224,0,0,0,0,10001000,407.81613,0,0,0,0,0,1,,NA,0.113661202,0.144262295,0,0.195628415,0.006557377,0.443715847,0.096174863,0,NA,NA,82,Tamarack,30,449855,4969094.9,701,20,2.01E+14,203.9448624,10001000,8/8/94,0.462099768,0.581061336,6.201975867,0.854321037,10.85921393,0,0,9/16/94,15,2,449859,4969090,eastern temperate forests,825338.8775,24.9936,114647.5438,0.587978142,1.153080647,2.12969697,13.62354934,11.64961786
33,10001300,Susan,Carver,Chanhassen                    ,Re-Survey,23-Jul-93,1.9026,1.2018996,0.23103,0.038052,0.201585,0.0538164,0,0,0.06795,0.0084711,0.260475,0.7100322,0,0.1285614,4.582095,0.2969868,0,0.2579835,0,0,0,0,0,0,10.249125,2.54133,0,0,0,10001300,3164.47996,1101.86632,0,0,0,0,2,,NA,0.396436526,0.346325167,0,0.177060134,0,0.080178174,0,0,NA,NA,17,Susan,38,457275,4966613.7,702,33,3.31E+14,206.1895148,10001300,7/23/93,0.823424741,0.718214746,10.98765291,0.009750626,5.148134649,0,0,9/1/93,11,3,457235,4966610,eastern temperate forests,834422.6999,5.1816,355233.3708,0.426503341,1.157791399,1.034090909,13.63449539,12.78053024
34,10001900,Bavaria,Carver,Victoria                      ,Re-Survey,8-Jul-02,0.0053907,0.0483351,0,0,7.22988,1.1692836,0,0,0.740202,0.402717,0.61155,5.0109954,0,0.4927734,14.7908124,1.6247751,0,0,0,0,0,0,0,0,0,1.5507096,0,0,0,10001900,0,0,0,0,0,0,0,,NA,0.178854875,0.242063492,0,0.113945578,0.011337869,0.449546485,0.004251701,0,166.46,13170.26,65.8,Bavaria,24,449350,4965000,702,33,3.31E+14,828.4047821,10001900,7/8/02,1.134825633,2.027585418,0,0.269259663,15.56706991,0,0,7/4/02,16,10,449418,4965060,eastern temperate forests,3352448.623,20.05584,673599.847,0.691609977,1.377342557,1.939565217,15.02520157,13.42039151
